date,user,type,ioc,tags,context
2026-07-12,tweetfeed,HASH_SHA256,cc16e880d67af10df85f43a178b824548e20ddb40cda6e23a73a75e4c456c8d9,n/a,https://x.com/smica83/status/2076251289336287591
2026-07-12,tweetfeed,IP,91.92.35.230,n/a,https://x.com/smica83/status/2076253109446213877
2026-07-12,tweetfeed,HASH_SHA256,d448dfee940f4cbb2c26702951998ebeda7d24f137047a10ea8fbcbb6a903fab,n/a,https://x.com/smica83/status/2076253109446213877
2026-07-12,tweetfeed,IP,134.122.128.135,n/a,https://x.com/skocherhan/status/2076254620179988749
2026-07-12,tweetfeed,IP,134.122.128.66,n/a,https://x.com/skocherhan/status/2076263289164632467
2026-07-12,tweetfeed,IP,202.95.8.27,n/a,https://x.com/skocherhan/status/2076264830743277762
2026-07-12,tweetfeed,IP,185.199.197.81,n/a,https://x.com/Yusufcancakiir/status/2076226949584744671
2026-07-12,tweetfeed,HASH_SHA256,9d7723ac78bdbe11f93e0f6df40a4b025f6e539951e76108739e8885b28980bb,n/a,https://x.com/Yusufcancakiir/status/2076226949584744671
2026-07-12,tweetfeed,HASH_SHA256,f01f7c9eaa7eab4898042ff1e9bc82300a85107dd3811a9cac13e2fbd11d3564,n/a,https://x.com/Yusufcancakiir/status/2076226949584744671
2026-07-12,tweetfeed,IP,45.13.38.82,n/a,https://x.com/klawlikula/status/2076292626966294695
2026-07-12,tweetfeed,IP,31.56.209.7,C2,https://x.com/Fact_Finder03/status/2076329977696727476
2026-07-11,tweetfeed,HASH_MD5,a8e3d5cecdf5488975e2c3a0dc658808,malware,https://x.com/skocherhan/status/2076067866189701183
2026-07-12,tweetfeed,HASH_MD5,7dda98b4ccc81a372dcc62e3dd9196c0,malware,https://x.com/bsforvt727/status/2076249499664810366
2026-07-12,tweetfeed,HASH_MD5,810d4f818350cb3859c325d8e86e5ffc,malware,https://x.com/bsforvt727/status/2076249499664810366
2026-07-12,tweetfeed,HASH_MD5,fa6e49af4bdb416b1f6bfbc04aa82287,n/a,https://x.com/skocherhan/status/2076259925030809714
2026-07-12,tweetfeed,HASH_MD5,f18fc6dfb28da984cf7730217389f165,n/a,https://x.com/skocherhan/status/2076259925030809714
2026-07-12,tweetfeed,HASH_MD5,862a8bbf0df0cf0f6578dc84d81474b4,n/a,https://x.com/skocherhan/status/2076259925030809714
2026-07-12,tweetfeed,HASH_MD5,9e82e564a9654e224b8251a4bed4a456,n/a,https://x.com/skocherhan/status/2076259925030809714
2026-07-12,tweetfeed,HASH_MD5,f2b4c4117580edf2327e432bc53ed6ee,AsyncRAT,https://x.com/skocherhan/status/2076269433652146413
